clase,provincia,cantidad
Camión,PICHINCHA,9607
Tanquero,ORELLANA,33
Volqueta,NAPO,69
Tanquero,PICHINCHA,303
Tanquero,CAÑAR,33
Camión,COTOPAXI,2316
Volqueta,LOS RÍOS,577
Camión,LOJA,1356
Trailer,SANTA ELENA,25
Trailer,PICHINCHA,851
Tanquero,BOLÍVAR,15
Volqueta,GUAYAS,71
Tanquero,ESMERALDAS,34
Tanquero,ZAMORA CHINCHIPE,3
Volqueta,BOLÍVAR,97
Camioneta,SANTO DOMINGO DE LOS TSÁCHILAS,7910
Volqueta,SANTA ELENA,28
Trailer,LOS RÍOS,219
Tanquero,LOS RÍOS,84
Volqueta,CAÑAR,268
Volqueta,PASTAZA,123
Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,494
Camión,PASTAZA,201
Camioneta,ORELLANA,976
Tanquero,COTOPAXI,81
Camioneta,CHIMBORAZO,7178
Trailer,PASTAZA,8
Trailer,ESMERALDAS,59
Trailer,ZAMORA CHINCHIPE,2
Camioneta,BOLÍVAR,2512
Camioneta,MORONA SANTIAGO,641
Tanquero,NAPO,8
Camioneta,GUAYAS,48073
Trailer,CAÑAR,91
Tanquero,MORONA SANTIAGO,4
Trailer,CHIMBORAZO,72
Trailer,COTOPAXI,297
Camioneta,EL ORO,8436
Camión,ORELLANA,427
Camioneta,NAPO,658
Camioneta,TUNGURAHUA,17381
Trailer,TUNGURAHUA,124
Camioneta,SUCUMBÍOS,1026
Camión,MANABÍ,2847
Camión,GUAYAS,11449
Trailer,SUCUMBÍOS,47
Tanquero,GUAYAS,515
Volqueta,MORONA SANTIAGO,41
Camioneta,PASTAZA,720
Trailer,EL ORO,187
Camioneta,IMBABURA,7054
Tanquero,CARCHI,25
Volqueta,SUCUMBÍOS,70
Volqueta,COTOPAXI,308
Trailer,ORELLANA,79
Trailer,BOLÍVAR,25
Tanquero,GALÁPAGOS,9
Volqueta,ORELLANA,90
Volqueta,EL ORO,350
Tanquero,SANTA ELENA,27
Tanquero,IMBABURA,38
Tanquero,SUCUMBÍOS,17
Tanquero,CHIMBORAZO,42
Camión,CARCHI,1035
Tanquero,AZUAY,94
Trailer,CARCHI,184
Volqueta,MANABÍ,1002
Tanquero,PASTAZA,1
Camión,GALÁPAGOS,54
Camioneta,PICHINCHA,51749
Camión,ESMERALDAS,753
Camión,SANTA ELENA,264
Camioneta,LOJA,7476
Trailer,LOJA,76
Camión,MORONA SANTIAGO,135
Tanquero,TUNGURAHUA,108
Camión,EL ORO,2397
Volqueta,TUNGURAHUA,385
Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,127
Trailer,MORONA SANTIAGO,5
Camión,IMBABURA,1697
Camión,NAPO,145
Camión,CHIMBORAZO,1669
Camión,CAÑAR,1369
Trailer,MANABÍ,275
Camioneta,GALÁPAGOS,257
Camión,LOS RÍOS,3777
Volqueta,AZUAY,834
Trailer,NAPO,5
Camioneta,MANABÍ,20216
Camioneta,LOS RÍOS,11202
Camioneta,AZUAY,21855
Volqueta,GALÁPAGOS,7
Camión,BOLÍVAR,671
Trailer,AZUAY,270
Camioneta,COTOPAXI,8362
Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,253
Tanquero,MANABÍ,384
Volqueta,LOJA,333
Volqueta,CHIMBORAZO,217
Volqueta,ESMERALDAS,206
Camioneta,SANTA ELENA,795
Volqueta,CARCHI,134
Volqueta,PICHINCHA,1636
Camión,SUCUMBÍOS,258
Camioneta,CAÑAR,6608
Trailer,IMBABURA,87
Tanquero,LOJA,43
Camión,SANTO DOMINGO DE LOS TSÁCHILAS,2992
Volqueta,IMBABURA,257
Trailer,GUAYAS,1459
Camión,AZUAY,3809
Camioneta,ZAMORA CHINCHIPE,655
Tanquero,EL ORO,56
Camioneta,CARCHI,3128
Camión,ZAMORA CHINCHIPE,183
Volqueta,ZAMORA CHINCHIPE,71
Camioneta,ESMERALDAS,2656
Camión,TUNGURAHUA,3656
